Community Lot ID,NH Task Name,Tickets Name,Created By: Full Name,Design QA Score,Design QA Date,Design QA Result
a3TUS00000B1O7R,Design QA,QA-001,Mary Genevieve Mendoza,100,6/25/2026,Pass
a3TUS00000BKjkD,Design QA,QA-001,Mary Genevieve Mendoza,100,6/16/2026,Pass
a3TUS00000BKjkF,Design QA,QA-001,Mary Genevieve Mendoza,100,6/18/2026,Pass
a3TUS00000BKjkG,Design QA,QA-001,Mary Genevieve Mendoza,100,6/18/2026,Pass
a3TUS00000BCydB,Design QA,QA-001,Mary Genevieve Mendoza,99,6/8/2026,Fail
a3TUS00000BKjkE,Design QA,QA-001,Mary Genevieve Mendoza,100,6/25/2026,Pass
a3TUS00000B0rLI,Design QA,QA-001,Mary Genevieve Mendoza,100,7/2/2026,Pass
a3TUS00000BCz30,Design QA,QA-001,Mary Genevieve Mendoza,99,6/8/2026,Fail
a3TUS00000BCz2z,Design QA,QA-001,Mary Genevieve Mendoza,100,6/8/2026,Pass
a3TUS00000BKgzF,Design QA,QA-001,Mary Genevieve Mendoza,100,6/16/2026,Pass
a3TUS00000B0pKN,Design QA,QA-001,Mary Genevieve Mendoza,100,6/11/2026,Pass
a3TUS00000B1O7d,Design QA,QA-001,Mary Genevieve Mendoza,100,6/16/2026,Pass
a3TUS00000B1YG2,Design QA,QA-001,Mary Genevieve Mendoza,100,8/11/2026,Pass
a3TUS00000B0wGG,Design QA,QA-001,Mary Genevieve Mendoza,100,6/16/2026,Pass
a3TUS00000B1gG6,Design QA,QA-001,Mary Genevieve Mendoza,100,6/15/2026,Pass
a3TUS00000B16Gb,Design QA,QA-001,Mary Genevieve Mendoza,100,8/12/2026,Pass
a3TUS00000BD0VO,Design QA,QA-001,Mary Genevieve Mendoza,100,6/9/2026,Pass
a3TUS00000BD0VM,Design QA,QA-001,Mary Genevieve Mendoza,98,6/9/2026,Fail
a3TUS00000BD0VK,Design QA,QA-001,Mary Genevieve Mendoza,100,6/9/2026,Pass
a3TUS00000BD0VN,Design QA,QA-001,Mary Genevieve Mendoza,99,6/9/2026,Fail
a3TUS00000BD0VL,Design QA,QA-001,Mary Genevieve Mendoza,100,6/9/2026,Pass
a3TUS00000BD0VJ,Design QA,QA-001,Mary Genevieve Mendoza,100,6/8/2026,Pass
a3TUS00000B0vGS,Design QA,QA-001,Mary Genevieve Mendoza,100,6/3/2026,Pass
a3TUS00000Bj1zK,Design QA,QA-001,Mary Genevieve Mendoza,100,7/15/2026,Pass
a3TUS00000B1lQY,Design QA,QA-001,Mary Genevieve Mendoza,98,9/2/2026,Fail
a3TUS00000B14kY,Design QA,QA-001,Mary Genevieve Mendoza,100,6/15/2026,Pass
a3TiL0000000BgD,Design QA,QA-001,Mary Genevieve Mendoza,98,9/3/2026,Fail
a3TUS00000B175m,Design QA,QA-001,Mary Genevieve Mendoza,100,7/27/2026,Pass
a3TUS00000B0wfC,Design QA,QA-001,Mary Genevieve Mendoza,98,6/18/2026,Fail
a3TUS00000B1J4H,Design QA,QA-001,Mary Genevieve Mendoza,100,6/1/2026,Pass
a3TUS00000B0wfQ,Design QA,QA-001,Mary Genevieve Mendoza,100,6/16/2026,Pass
a3TUS00000B1kxZ,Design QA,QA-001,Mary Genevieve Mendoza,100,8/11/2026,Pass
a3TUS00000B1H6F,Design QA,QA-001,Mary Genevieve Mendoza,100,6/1/2026,Pass
a3TUS00000B1Epv,Design QA,QA-001,Mary Genevieve Mendoza,100,5/26/2026,Pass
a3TUS00000BCRsX,Design QA,QA-001,Mary Genevieve Mendoza,100,6/5/2026,Pass
a3TUS00000BCRsY,Design QA,QA-001,Mary Genevieve Mendoza,98,6/5/2026,Fail
a3TUS00000BCRsa,Design QA,QA-001,Mary Genevieve Mendoza,100,6/5/2026,Pass
a3TUS00000B0yBM,Design QA,QA-001,Mary Genevieve Mendoza,100,6/1/2026,Pass
a3TUS00000B1LDA,Design QA,QA-001,Mary Genevieve Mendoza,100,9/2/2026,Pass
a3TUS00000B1YsG,Design QA,QA-001,Mary Genevieve Mendoza,99,7/21/2026,Fail
a3TUS00000B51bV,Design QA,QA-001,Mary Genevieve Mendoza,100,5/29/2026,Pass
a3TUS00000B13Qp,Design QA,QA-001,Mary Genevieve Mendoza,98,8/3/2026,Fail
a3TUS00000B179u,Design QA,QA-001,Mary Genevieve Mendoza,100,6/1/2026,Pass
a3TUS00000B1ADY,Design QA,QA-001,Mary Genevieve Mendoza,100,5/28/2026,Pass
a3TUS00000B1A8k,Design QA,QA-001,Mary Genevieve Mendoza,100,8/20/2026,Pass
a3TUS00000B51bU,Design QA,QA-001,Mary Genevieve Mendoza,100,5/29/2026,Pass
a3TiL0000006Mic,Design QA,QA-001,Mary Genevieve Mendoza,100,9/11/2026,Pass
a3TiL0000006Mid,Design QA,QA-001,Mary Genevieve Mendoza,100,9/11/2026,Pass
a3TiL0000006Mib,Design QA,QA-001,Mary Genevieve Mendoza,100,9/11/2026,Pass
a3TUS00000B1cm4,Design QA,QA-001,Mary Genevieve Mendoza,100,6/1/2026,Pass
